title,location,salary,link
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알",재택근무,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72989301
㈜프로에스콤 월 250만 네이버 데이터센터 각 보안요원 모집(IT자격,강원 춘천시,"월급2,500,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72989004
비영리IT지원센터 [주간풀타임우대] 의료 데이터 어노테이션 작업,서울 마포구,"건별30,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72977725
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",서울 광진구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72987144
㈜아이알스텝 외국계열 -전자부품 측정 및 데이터 입력직 모집,서울 전체,"월급2,050,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72993352
㈜프레시토탈 데이터관리 사원채용 #공고확인필수,경기 용인시,"연봉36,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72991929
㈜프레시토탈 간편식품업계1위 데이터관리사원 채용,경기 용인시,"연봉36,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72990527
"㈜ 데이터메이커 [재택]반려동물 사진 가공(박스치기,점 찍기) 알",재택근무,"시급9,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72962456
㈜솔트룩스 음성/영상 데이터 품질 검수 및 인력 관리,서울 강남구,"월급2,500,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72958014
㈜데이터로직스 [단기] (주)데이터로직스 HR업무 파트타이머 모집,서울 강남구,"시급8,720원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72992291
플랜티어학원 컴퓨터실 학생관리 및 데이터 입력,전남 여수시,"시급9,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72989811
한국신용데이터 [주5일/경영지원] 한국신용데이터 자금업무 담당자,서울 전체,"월급2,300,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72947215
무소유통 중국어 사무직 알바 주12시간 업체 커뮤니케이션/데이터,서울 강서구,"시급10,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72976732
ebay korea [ebay/글로벌대기업] 이커머스 글로벌셀러 매,서울 강남구,"연봉28,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72954659
㈜머니브레인 [인공지능 기업] 스크립트 리딩 및 영상 데이터 촬영,서울 전체,"일급40,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72951638
주식회사 딥네츄럴 [3개월/양재/쉬운꿀알바] 데이터 검수 & 입력,서울 서초구,"월급1,886,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72964741
㈜지플러스 [재택] 이미지 데이터 가공,재택근무,"시급8,720원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72960747
패턴웍스㈜ (수도권 여성 마감) 음성 데이터 녹음 알바 모집합니다.,서울 강남구,"건별45,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72958164
"주식회사 바이브컴 인공지능 학습용 데이터 구축(재택근무, 방학",서울 용산구,건별700원,http://www.albamon.com//recruit/view/gi?AL_GI_No=72958134
"LK플랫폼 영문 리서치(논문) 기초 데이터 수집 [자율근무, 논문",재택근무,"건별5,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72957001
㈜프로에스콤 월 250만 네이버 데이터센터 각 보안요원 모집(IT자격,강원 춘천시,"월급2,500,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72933496
"박데이터랩 [ 재택근무 ] 집에서 하루 10분, 블로그 포스팅 알바 건",인천 미추홀구,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72923561
㈜솔트룩스 [재택근무] 음성 데이터 품질 검수,서울 강남구,"건별35,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72953747
㈜이퍼블릭코리아 [양천구 목동] 학습용 데이터 편집 및 입력 아르,서울 전체,"월급1,822,480원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72951286
"박데이터랩 [ 재택알바 ] 코로나 걱정 없이 집에서 하루 10분, 건당",재택근무,"건별100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72919241
㈜라이프스타일프로 [판교/시급 1만원] 데이터 관리 및 SCM 보조,경기 성남시,"시급10,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72944644
컴퓨터수리&데이터 [신입/차량필] (초보)남&녀 컴퓨터수리 & 데이,서울 전체,"월급4,500,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72940696
"BC카드,KT그룹 자회 [284만원 이상 / 을지로4가]비씨카드 빅",서울 전체,"월급2,840,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72938806
㈜빌트온 데이터 입력 및 분류 등 단순 업무,서울 금천구,"월급2,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72938262
라이언로켓 [화목] 데이터수집/정제작업 알바분 모집합니다(재택근,서울 중구,"시급8,590원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72938048
시중은행 죽전데이 주말휴무지원-은행 보안요원 초보환영-시중은행,경기 용인시,"월급2,540,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72928364
㈜프로에스콤 월 250만 네이버 데이터센터 각 보안요원 모집,강원 춘천시,"월급2,500,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72909577
#한국기업데이터 [251만/여의도] 중소기업대상 CS상담원 채용/ #영,서울 영등포구,"월급2,510,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72899847
렉슬 북클럽 (Rexle 영어 타이핑 데이터 정리 및 학습 코칭,재택근무,"시급15,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72911872
㈜ 데이터메이커 [재택/고3 수험생] 제주어 받아쓰기(녹음된 음성,전국,"시급10,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72784567
㈜한국공간데이터 정규직채용/공간관리/쉐어하우스/스타트업/운영팀,서울 강남구,"월급2,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72904759
㈜프레시토탈 [간편식 식품분야 1위 기업 데이터 관리 사원 모집],경기 안성시,"연봉36,000,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72901976
㈜마이셀럽스 파이썬(Python) 데이터 전처리 알바,서울 전체,"시급8,800원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72891393
㈜에이모 (주)에이모 AQM(인공지능 학습용 데이터 품질 관리자) 모,경기 성남시,"월급2,100,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72887771
데이터가공기업 (초보) 퀄러티 매니저(데이터 가공 및 검수) 모집,재택근무,"월급1,800,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72886881
㈜인사이트정보 데이터 검수 및 검증 작업 아르바이트직 구인 (PC사,서울 강남구,"월급1,830,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72886833
㈜마루HR [청라] 하나금융티아이 본사 인사전략팀 사무지원 채용,인천 전체,"월급1,900,000원",http://www.albamon.com//recruit/view/gi?AL_GI_No=72880023
